Player,Team,Season,Season Type,Games,Distance Per Game,Distance Per 36 min,Avg. Speed,Touches Per 36 min,Pass Per 36 min,Secondary Assists Per 36 min,FT Assists Per 36 min,Off. Reb Success Rate,Def. Reb Success Rate,Contested FG %,Uncontested FG %,Uncontested FG Usage,FGs Defended at Rim %
Marco Belinelli,Spurs,2013-2014,REG,80,1.863,2.661,4.436,55.094,38.682,1.25,0.25,0.429,0.55,0.471,0.494,0.606,0.605
Patty Mills,Spurs,2013-2014,REG,81,1.505,2.874,4.79,82.096,61.613,1.32,0.754,0.567,0.652,0.458,0.469,0.606,0.551
Tim Duncan,Spurs,2013-2014,REG,74,1.873,2.311,3.852,73.903,52.237,0.651,0.234,0.551,0.704,0.519,0.44,0.375,0.477
Aaron Brooks,"Rockets, Nuggets",2013-2014,REG,72,1.507,2.508,4.18,65.329,45.726,1.202,0.763,0.632,0.577,0.367,0.447,0.407,0.608
Dwight Howard,Rockets,2013-2014,REG,71,2.147,2.29,3.817,63.289,43.024,0.571,0.21,0.666,0.692,0.562,0.796,0.122,0.478
James Harden,Rockets,2013-2014,REG,73,2.319,2.194,3.657,67.438,42.656,0.959,0.544,0.54,0.66,0.467,0.445,0.491,0.538
Josh Powell,Rockets,2013-2014,REG,1,1.23,2.286,3.811,40.895,27.883,0,0,0,0.833,0,0.4,0.833,0.333
Troy Daniels,Rockets,2013-2014,REG,5,1.076,2.589,4.316,50.535,32.246,0.481,0,0,0.4,0.2,0.539,0.839,0.727
Patrick Beverley,Rockets,2013-2014,REG,56,2.323,2.675,4.458,68.085,54.267,1.275,0.309,0.483,0.564,0.395,0.428,0.563,0.526
Jeremy Lin,Rockets,2013-2014,REG,71,2.059,2.562,4.27,71.315,51.984,1.069,0.701,0.436,0.474,0.44,0.45,0.51,0.477
Omer Asik,Rockets,2013-2014,REG,48,1.312,2.342,3.904,55.518,42.987,0.446,0.149,0.571,0.691,0.54,0.5,0.148,0.475
Donatas Motiejunas,Rockets,2013-2014,REG,62,1.142,2.678,4.463,61.475,45.898,0.529,0.265,0.492,0.577,0.533,0.323,0.429,0.482
Francisco Garcia,Rockets,2013-2014,REG,55,1.329,2.429,4.048,43.37,31.804,0.366,0.299,0.636,0.608,0.438,0.381,0.618,0.505
Terrence Jones,Rockets,2013-2014,REG,76,1.918,2.526,4.209,52.923,36.639,0.554,0.173,0.551,0.616,0.555,0.511,0.307,0.513
Omri Casspi,Rockets,2013-2014,REG,71,1.331,2.652,4.42,63.841,47.678,0.505,0.253,0.437,0.562,0.435,0.411,0.606,0.516
Chandler Parsons,Rockets,2013-2014,REG,74,2.688,2.574,4.289,56.886,39.822,0.763,0.362,0.479,0.675,0.483,0.459,0.437,0.503
D.J. Augustin,"Raptors, Bulls",2013-2014,REG,71,1.903,2.509,4.182,90.176,69.471,2.117,0.966,0.278,0.701,0.379,0.454,0.521,0.589
Amir Johnson,Raptors,2013-2014,REG,77,1.918,2.401,4.002,58.668,44.863,0.683,0.39,0.483,0.577,0.583,0.515,0.331,0.479
Terrence Ross,Raptors,2013-2014,REG,81,1.899,2.565,4.275,38.783,23.544,0.45,0.15,0.597,0.663,0.414,0.437,0.487,0.525
Kyle Lowry,Raptors,2013-2014,REG,79,2.355,2.34,3.9,88.316,66.857,1.51,0.679,0.442,0.567,0.41,0.441,0.468,0.539
DeMar DeRozan,Raptors,2013-2014,REG,79,2.565,2.418,4.03,56.566,32.496,0.74,0.298,0.537,0.667,0.43,0.43,0.326,0.555
Jonas Valanciunas,Raptors,2013-2014,REG,81,1.918,2.451,4.085,57.433,42.322,0.347,0.063,0.509,0.636,0.559,0.456,0.253,0.511
Tyler Hansbrough,Raptors,2013-2014,REG,64,1.056,2.488,4.147,50.612,38.355,0.331,0.221,0.482,0.596,0.488,0.37,0.14,0.534
Kentavious Caldwell-Pope,Pistons,2013-2014,REG,80,1.388,2.526,4.21,40.284,27.933,0.614,0.114,0.469,0.638,0.387,0.402,0.567,0.618
Andre Drummond,Pistons,2013-2014,REG,81,2.201,2.45,4.084,44.177,29.332,0.302,0.083,0.7,0.705,0.595,0.784,0.145,0.523
Brandon Jennings,Pistons,2013-2014,REG,80,2.417,2.552,4.253,86.063,63.287,1.676,0.977,0.492,0.717,0.314,0.436,0.475,0.594
Josh Smith,Pistons,2013-2014,REG,77,2.196,2.229,3.715,56.064,34.625,0.567,0.435,0.49,0.625,0.447,0.382,0.427,0.471
Rodney Stuckey,Pistons,2013-2014,REG,73,1.743,2.349,3.915,52.385,30.549,0.24,0.48,0.476,0.542,0.445,0.421,0.362,0.574
Greg Monroe,Pistons,2013-2014,REG,82,2.152,2.362,3.936,55.978,36.93,0.495,0.375,0.493,0.621,0.507,0.453,0.189,0.512
Kyle Singler,Pistons,2013-2014,REG,82,2.144,2.708,4.513,44.171,31.511,0.354,0.139,0.45,0.482,0.477,0.418,0.526,0.527
Chauncey Billups,Pistons,2013-2014,REG,19,1.061,2.345,3.909,67.355,52.813,1.512,0.582,0.667,0.571,0.324,0.302,0.558,0.6
Will Bynum,Pistons,2013-2014,REG,56,1.257,2.405,4.008,74.789,50.952,1.503,0.99,0.48,0.721,0.432,0.418,0.284,0.629
Anthony Morrow,Pelicans,2013-2014,REG,76,1.277,2.45,4.083,35.625,19.896,0.253,0.202,0.537,0.594,0.44,0.476,0.489,0.495
Luke Babbitt,Pelicans,2013-2014,REG,27,1.254,2.574,4.291,55.821,41.448,0.608,0.076,0.621,0.598,0.419,0.378,0.721,0.541
Tyreke Evans,Pelicans,2013-2014,REG,72,1.888,2.413,4.021,66.787,43.14,0.781,0.692,0.452,0.619,0.468,0.339,0.243,0.624
Alexis Ajinca,Pelicans,2013-2014,REG,56,1.192,2.528,4.213,56.997,42.946,0.265,0.189,0.531,0.614,0.543,0.547,0.344,0.508
Ryan Anderson,Pelicans,2013-2014,REG,22,2.426,2.418,4.029,52.049,32.706,0.498,0.045,0.493,0.528,0.431,0.442,0.613,0.536
Jrue Holiday,Pelicans,2013-2014,REG,34,2.422,2.592,4.321,86.928,64.889,0.756,0.913,0.491,0.606,0.449,0.447,0.435,0.574
Jason Smith,Pelicans,2013-2014,REG,31,1.901,2.555,4.259,66.307,50.522,0.434,0.087,0.505,0.634,0.455,0.469,0.688,0.508
Al-Farouq Aminu,Pelicans,2013-2014,REG,80,1.861,2.621,4.368,45.127,33.088,0.563,0.387,0.542,0.604,0.502,0.434,0.402,0.567
Greg Stiemsma,Pelicans,2013-2014,REG,55,1.274,2.506,4.177,57.297,50.108,0.393,0.179,0.442,0.524,0.598,0.5,0.246,0.503
Eric Gordon,Pelicans,2013-2014,REG,64,2.198,2.462,4.103,46.564,26.476,0.49,0.333,0.5,0.605,0.463,0.411,0.534,0.694
Darius Miller,Pelicans,2013-2014,REG,45,1.049,2.352,3.92,34.668,23.909,0.299,0.1,0.692,0.489,0.373,0.485,0.596,0.549
Austin Rivers,Pelicans,2013-2014,REG,69,1.345,2.495,4.158,74.406,54.83,0.78,0.538,0.366,0.52,0.4,0.417,0.293,0.444
Melvin Ely,Pelicans,2013-2014,REG,2,0.885,2.338,3.897,33.028,25.101,0,0,0,0.333,0.75,0,0.333,0.714
Brian Roberts,Pelicans,2013-2014,REG,72,1.685,2.62,4.366,79.523,60.863,0.799,0.648,0.386,0.63,0.45,0.393,0.517,0.593
Anthony Davis,Pelicans,2013-2014,REG,67,2.39,2.445,4.075,54.998,33.82,0.367,0.137,0.586,0.669,0.526,0.509,0.353,0.488
Danny Granger,"Pacers, 76ers, Clippers",2013-2014,REG,41,1.396,2.431,4.051,47.315,30.411,0.51,0.425,0.5,0.611,0.347,0.407,0.529,0.419
David West,Pacers,2013-2014,REG,80,1.883,2.194,3.656,71.879,53.123,0.786,0.539,0.531,0.627,0.451,0.532,0.455,0.47
Luis Scola,Pacers,2013-2014,REG,82,1.239,2.614,4.357,74.746,54.419,0.72,0.232,0.393,0.603,0.476,0.464,0.546,0.546
Ian Mahinmi,Pacers,2013-2014,REG,77,1.086,2.412,4.021,37.708,28.129,0.289,0.173,0.459,0.512,0.522,0.377,0.28,0.445
Roy Hibbert,Pacers,2013-2014,REG,81,1.913,2.316,3.86,47.537,31.323,0.553,0.105,0.51,0.492,0.446,0.417,0.232,0.415
George Hill,Pacers,2013-2014,REG,76,2.169,2.439,4.064,78.044,63.311,1.257,0.34,0.541,0.581,0.482,0.41,0.548,0.571
CJ Watson,Pacers,2013-2014,REG,63,1.365,2.595,4.325,74.429,59.042,1.297,0.241,0.594,0.594,0.357,0.497,0.572,0.541
Lance Stephenson,Pacers,2013-2014,REG,78,2.269,2.315,3.858,56.065,39.609,0.876,0.471,0.601,0.713,0.537,0.434,0.451,0.478
Paul George,Pacers,2013-2014,REG,80,2.548,2.532,4.22,68.986,45.163,0.77,0.335,0.408,0.66,0.412,0.437,0.5,0.45
Andre Miller,"Nuggets, Wizards",2013-2014,REG,58,1.066,2.266,3.777,72.011,57.418,1.173,0.623,0.467,0.638,0.491,0.373,0.259,0.517
Jordan Hamilton,"Nuggets, Rockets",2013-2014,REG,60,1.224,2.592,4.32,49.006,32.023,0.424,0.141,0.41,0.593,0.379,0.41,0.566,0.578
JaVale McGee,Nuggets,2013-2014,REG,5,1.028,2.328,3.88,50.728,29.893,0.453,0,0.588,0.438,0.429,0.5,0.263,0.65
Ty Lawson,Nuggets,2013-2014,REG,62,2.386,2.398,3.996,79.665,56.945,1.491,1.07,0.519,0.681,0.431,0.429,0.498,0.627
Wilson Chandler,Nuggets,2013-2014,REG,62,2.165,2.508,4.181,49.623,32.098,0.448,0.243,0.617,0.58,0.423,0.407,0.439,0.489
Nate Robinson,Nuggets,2013-2014,REG,44,1.393,2.547,4.245,66.13,42.77,1.33,1.081,0.412,0.606,0.423,0.431,0.511,0.696
Anthony Randolph,Nuggets,2013-2014,REG,43,0.852,2.503,4.172,55.169,37.463,0.479,0.205,0.465,0.65,0.403,0.371,0.558,0.436
Randy Foye,Nuggets,2013-2014,REG,81,2.122,2.49,4.15,49.735,32.48,0.869,0.768,0.5,0.57,0.392,0.427,0.593,0.585
Kenneth Faried,Nuggets,2013-2014,REG,80,1.913,2.529,4.216,53.798,34.956,0.529,0.099,0.506,0.663,0.542,0.556,0.242,0.493
JJ Hickson,Nuggets,2013-2014,REG,69,1.899,2.537,4.228,58.857,40.542,0.891,0.252,0.594,0.665,0.519,0.478,0.278,0.527
Evan Fournier,Nuggets,2013-2014,REG,76,1.451,2.64,4.399,52.126,33.713,0.599,0.479,0.453,0.581,0.406,0.429,0.532,0.626
Darrell Arthur,Nuggets,2013-2014,REG,68,1.159,2.444,4.073,51.127,35.439,0.558,0.341,0.46,0.534,0.336,0.422,0.688,0.47
Timofey Mozgov,Nuggets,2013-2014,REG,82,1.607,2.679,4.466,57.373,40.757,0.346,0.041,0.496,0.599,0.529,0.5,0.22,0.469
Quincy Miller,Nuggets,2013-2014,REG,52,1.095,2.597,4.328,40.993,24.669,0.547,0.046,0.493,0.594,0.383,0.352,0.5,0.492
Reggie Evans,"Nets, Kings",2013-2014,REG,54,1.119,2.421,4.035,45.296,33.161,0.2,0.08,0.513,0.689,0.444,0.706,0.113,0.605
Mirza Teletovic,Nets,2013-2014,REG,72,1.316,2.444,4.073,58.118,41.583,0.439,0.103,0.632,0.622,0.374,0.435,0.658,0.502
Andrei Kirilenko,Nets,2013-2014,REG,45,1.322,2.498,4.163,45.52,33.636,0.588,0.378,0.519,0.565,0.545,0.422,0.287,0.593
Deron Williams,Nets,2013-2014,REG,64,2.211,2.474,4.123,87.008,68.11,2.045,0.962,0.375,0.607,0.433,0.465,0.522,0.613
Joe Johnson,Nets,2013-2014,REG,79,2.113,2.334,3.889,49.257,31.277,0.937,0.252,0.511,0.712,0.45,0.45,0.462,0.58
Jason Terry,Nets,2013-2014,REG,35,1.038,2.294,3.823,46.837,34.97,0.631,0.189,0.571,0.733,0.239,0.424,0.683,0.3
Brook Lopez,Nets,2013-2014,REG,17,1.978,2.269,3.781,45.884,24.562,0.405,0.405,0.52,0.485,0.542,0.619,0.275,0.403
Andray Blatche,Nets,2013-2014,REG,73,1.403,2.278,3.797,61.77,41.855,0.356,0.267,0.619,0.641,0.509,0.427,0.427,0.548
Jorge Gutierrez,Nets,2013-2014,REG,15,1.165,2.577,4.295,68.45,55.468,1.328,0.148,0.429,0.633,0.593,0.333,0.5,0.556
Shaun Livingston,Nets,2013-2014,REG,76,1.796,2.489,4.148,72.12,57.495,1.185,0.602,0.523,0.675,0.484,0.48,0.208,0.508
Kevin Garnett,Nets,2013-2014,REG,54,1.354,2.373,3.955,74.552,58.869,0.52,0.195,0.638,0.739,0.4,0.458,0.553,0.474
Paul Pierce,Nets,2013-2014,REG,75,1.664,2.142,3.57,59.336,41.199,0.721,0.36,0.481,0.656,0.488,0.408,0.469,0.482
Alan Anderson,Nets,2013-2014,REG,78,1.487,2.355,3.925,41.048,28.029,0.406,0.223,0.541,0.498,0.415,0.373,0.429,0.548
Mason Plumlee,Nets,2013-2014,REG,70,1.3,2.57,4.283,50.633,36.852,0.65,0.113,0.442,0.582,0.623,0.827,0.173,0.543
Brandan Wright,Mavericks,2013-2014,REG,58,1.234,2.391,3.985,42.836,28.301,0.368,0.134,0.626,0.582,0.646,0.781,0.221,0.531
Samuel Dalembert,Mavericks,2013-2014,REG,80,1.408,2.513,4.188,43.593,30.787,0.58,0.045,0.615,0.616,0.559,0.594,0.255,0.52
Jae Crowder,Mavericks,2013-2014,REG,78,1.145,2.565,4.275,51.09,39.316,0.431,0.201,0.479,0.558,0.505,0.404,0.652,0.483
Devin Harris,Mavericks,2013-2014,REG,40,1.394,2.455,4.092,87.777,66.999,1.541,0.66,0.5,0.675,0.384,0.373,0.403,0.634
Vince Carter,Mavericks,2013-2014,REG,81,1.617,2.389,3.982,63.755,43.501,0.675,0.438,0.558,0.502,0.406,0.408,0.523,0.551
Shawn Marion,Mavericks,2013-2014,REG,76,2.191,2.489,4.148,54.551,40.816,0.583,0.194,0.592,0.676,0.449,0.52,0.455,0.533
Dirk Nowitzki,Mavericks,2013-2014,REG,80,2.055,2.252,3.754,68.97,45.861,0.63,0.356,0.513,0.629,0.515,0.477,0.457,0.527
Jose Calderon,Mavericks,2013-2014,REG,81,2.189,2.586,4.311,88.209,72.997,1.575,0.525,0.674,0.668,0.42,0.484,0.55,0.631
Monta Ellis,Mavericks,2013-2014,REG,82,2.541,2.482,4.136,68.531,45.068,1.155,0.453,0.396,0.618,0.468,0.428,0.434,0.554
DeJuan Blair,Mavericks,2013-2014,REG,78,1.011,2.34,3.899,50.418,33.751,0.297,0.237,0.463,0.595,0.519,0.574,0.275,0.55
Glen Davis,"Magic, Clippers",2013-2014,REG,68,1.578,2.325,3.875,54.978,37.951,0.758,0.173,0.505,0.542,0.459,0.454,0.46,0.528
Arron Afflalo,Magic,2013-2014,REG,73,2.405,2.477,4.128,59.768,40.753,0.734,0.24,0.471,0.622,0.435,0.492,0.418,0.597
Victor Oladipo,Magic,2013-2014,REG,80,2.18,2.525,4.209,76.85,53.685,1.144,0.492,0.434,0.588,0.41,0.428,0.428,0.468
Ronnie Price,Magic,2013-2014,REG,31,0.895,2.648,4.414,66.473,52.147,1.242,0.287,0.615,0.673,0.25,0.339,0.609,0.636
Doron Lamb,Magic,2013-2014,REG,53,0.899,2.468,4.114,39.776,28.951,0.414,0.155,0.471,0.612,0.364,0.415,0.588,0.704
Jason Maxiell,Magic,2013-2014,REG,34,0.997,2.498,4.163,43.706,33.535,0.737,0.295,0.459,0.523,0.493,0.361,0.343,0.568
Kyle O'Quinn,Magic,2013-2014,REG,69,1.148,2.401,4.002,65.088,49.24,0.606,0.455,0.599,0.668,0.53,0.473,0.501,0.462
E'Twaun Moore,Magic,2013-2014,REG,79,1.357,2.563,4.271,44.662,30.771,0.837,0.359,0.537,0.575,0.465,0.388,0.53,0.491
Maurice Harkless,Magic,2013-2014,REG,80,1.764,2.606,4.343,37.246,24.855,0.332,0.092,0.519,0.584,0.461,0.468,0.42,0.605
Andrew Nicholson,Magic,2013-2014,REG,76,1.051,2.45,4.083,47.181,31.014,0.276,0,0.438,0.582,0.463,0.402,0.608,0.447
Jameer Nelson,Magic,2013-2014,REG,68,2.084,2.342,3.903,80.507,60.219,1.289,0.942,0.382,0.592,0.395,0.393,0.559,0.581
Nikola Vucevic,Magic,2013-2014,REG,57,2.112,2.391,3.985,71.015,52.462,0.576,0.159,0.634,0.693,0.521,0.486,0.368,0.565
Tobias Harris,Magic,2013-2014,REG,61,2.154,2.557,4.262,55.472,37.04,0.428,0.156,0.543,0.655,0.505,0.41,0.433,0.531
Steve Blake,"Lakers, Warriors",2013-2014,REG,55,1.998,2.64,4.401,76.087,62.22,1.851,0.481,0.619,0.629,0.298,0.405,0.734,0.579
Jodie Meeks,Lakers,2013-2014,REG,77,2.403,2.606,4.343,45.436,29.098,0.563,0.31,0.492,0.661,0.468,0.456,0.51,0.58
Jordan Farmar,Lakers,2013-2014,REG,41,1.637,2.649,4.415,93.56,72.093,1.342,0.947,0.444,0.6,0.392,0.44,0.501,0.68
Kobe Bryant,Lakers,2013-2014,REG,6,1.917,2.335,3.892,92.801,66.402,1.828,0.609,0.4,0.615,0.429,0.417,0.329,0.591
Robert Sacre,Lakers,2013-2014,REG,65,1.159,2.491,4.151,57.4,43.513,0.661,0.132,0.488,0.573,0.487,0.46,0.37,0.491
Nick Young,Lakers,2013-2014,REG,64,1.927,2.453,4.089,51.03,27.654,0.497,0.219,0.5,0.585,0.446,0.418,0.377,0.545
Manny Harris,Lakers,2013-2014,REG,9,1.434,2.586,4.31,46.473,28.645,0.801,0.2,0.636,0.75,0.372,0.444,0.386,0.615
Pau Gasol,Lakers,2013-2014,REG,60,2.059,2.36,3.933,80.529,56.953,0.726,0.21,0.556,0.65,0.494,0.453,0.35,0.546
Chris Kaman,Lakers,2013-2014,REG,39,1.315,2.509,4.182,75.976,52.151,0.538,0.391,0.486,0.623,0.523,0.488,0.376,0.433
Ryan Kelly,Lakers,2013-2014,REG,59,1.573,2.546,4.243,59.823,46.075,0.631,0.22,0.609,0.623,0.429,0.419,0.585,0.591
Shawne Williams,Lakers,2013-2014,REG,36,1.577,2.722,4.536,57.924,46.368,0.48,0,0.455,0.573,0.38,0.38,0.74,0.536
Wesley Johnson,Lakers,2013-2014,REG,79,1.975,2.508,4.18,45.834,33.042,0.386,0.177,0.56,0.589,0.398,0.443,0.594,0.576
Kendall Marshall,Lakers,2013-2014,REG,54,1.995,2.48,4.133,93.531,78.176,1.634,0.99,0.577,0.753,0.414,0.401,0.613,0.589
Xavier Henry,Lakers,2013-2014,REG,43,1.561,2.661,4.435,58.314,37.74,0.714,0.159,0.446,0.556,0.429,0.401,0.426,0.492
Jordan Hill,Lakers,2013-2014,REG,72,1.462,2.527,4.212,60.415,42.797,0.456,0.144,0.523,0.633,0.554,0.537,0.282,0.505
Steve Nash,Lakers,2013-2014,REG,15,1.549,2.676,4.46,90.629,72.664,2.418,1.267,0.571,0.658,0.375,0.389,0.575,0.833
Beno Udrih,"Knicks, Grizzlies",2013-2014,REG,41,1.158,2.658,4.429,86.008,69.49,0.952,0.672,0.455,0.59,0.443,0.434,0.556,0.55
Andrea Bargnani,Knicks,2013-2014,REG,42,1.871,2.25,3.75,53.776,35.049,0.43,0.029,0.611,0.635,0.434,0.448,0.578,0.483
Carmelo Anthony,Knicks,2013-2014,REG,77,2.393,2.225,3.708,64.278,37.838,0.664,0.242,0.636,0.738,0.433,0.477,0.429,0.498
Timothy Hardaway Jr.,Knicks,2013-2014,REG,81,1.558,2.423,4.038,42.364,26.681,0.326,0.058,0.413,0.554,0.434,0.425,0.601,0.61
J.R. Smith,Knicks,2013-2014,REG,74,2.151,2.367,3.945,58.656,40.159,0.52,0.446,0.493,0.715,0.38,0.438,0.595,0.552
Kenyon Martin,Knicks,2013-2014,REG,32,1.213,2.208,3.68,46.413,36.686,0.739,0.228,0.621,0.645,0.571,0.434,0.431,0.487
Raymond Felton,Knicks,2013-2014,REG,65,2.092,2.427,4.045,81.661,64.743,0.964,0.232,0.454,0.622,0.394,0.396,0.532,0.513
Metta World Peace,Knicks,2013-2014,REG,29,0.878,2.361,3.935,46.277,29.491,0.556,0.278,0.486,0.586,0.467,0.35,0.571,0.379
Iman Shumpert,Knicks,2013-2014,REG,74,1.877,2.548,4.247,44.122,32.216,0.661,0.165,0.523,0.654,0.392,0.372,0.684,0.545
Pablo Prigioni,Knicks,2013-2014,REG,66,1.439,2.666,4.443,85.079,74.609,0.898,0.646,0.474,0.616,0.286,0.51,0.78,0.559
Amar'e Stoudemire,Knicks,2013-2014,REG,65,1.447,2.31,3.85,47.977,28.285,0.147,0.049,0.5,0.561,0.581,0.506,0.323,0.487
Tyson Chandler,Knicks,2013-2014,REG,55,1.929,2.298,3.83,47.222,36.261,0.628,0,0.614,0.669,0.531,0.716,0.339,0.515
Derrick Williams,"Kings, Timberwolves",2013-2014,REG,78,1.534,2.366,3.944,44.265,30.44,0.336,0.119,0.67,0.718,0.431,0.414,0.405,0.588
Rudy Gay,"Kings, Raptors",2013-2014,REG,73,2.328,2.418,4.03,56.629,33.186,0.64,0.398,0.491,0.676,0.46,0.448,0.298,0.576
Quincy Acy,"Kings, Raptors",2013-2014,REG,63,0.973,2.604,4.339,51.385,41.066,0.085,0.127,0.456,0.569,0.488,0.436,0.39,0.513
Patrick Patterson,"Kings, Raptors",2013-2014,REG,65,1.583,2.417,4.029,59.223,44.94,0.564,0.235,0.632,0.668,0.483,0.432,0.63,0.543
Greivis Vasquez,"Kings, Raptors",2013-2014,REG,79,1.576,2.519,4.198,90.439,69.818,1.538,0.688,0.667,0.659,0.395,0.453,0.522,0.524
John Salmons,"Kings, Raptors",2013-2014,REG,78,1.427,2.322,3.87,43.452,32.542,0.834,0.25,0.588,0.579,0.324,0.396,0.549,0.553
Charles Hayes,"Kings, Raptors",2013-2014,REG,61,0.78,2.274,3.79,52.509,43.479,0.669,0.287,0.493,0.635,0.404,0.5,0.188,0.57
Marcus Thornton,"Kings, Nets",2013-2014,REG,72,1.607,2.392,3.987,40.226,24.053,0.31,0.248,0.407,0.605,0.372,0.407,0.559,0.626
Ray McCallum,Kings,2013-2014,REG,45,1.469,2.653,4.422,75.197,58.094,0.642,0.642,0.45,0.56,0.361,0.387,0.518,0.571
Jason Thompson,Kings,2013-2014,REG,82,1.692,2.489,4.149,52.507,39.555,0.556,0.251,0.498,0.578,0.512,0.497,0.331,0.483
Isaiah Thomas,Kings,2013-2014,REG,72,2.315,2.403,4.005,86.061,60.387,0.908,0.937,0.54,0.553,0.442,0.467,0.455,0.524
Carl Landry,Kings,2013-2014,REG,18,0.872,2.426,4.043,51.922,38.787,0.464,0,0.405,0.609,0.464,0.563,0.533,0.512
Ben McLemore,Kings,2013-2014,REG,82,1.99,2.687,4.478,38.091,23.671,0.379,0.263,0.495,0.513,0.353,0.394,0.588,0.539
DeMarcus Cousins,Kings,2013-2014,REG,71,2.021,2.248,3.747,71.065,43.429,0.439,0.282,0.594,0.748,0.503,0.472,0.343,0.511
Travis Outlaw,Kings,2013-2014,REG,63,1.226,2.61,4.349,40.861,27.41,0.203,0.169,0.667,0.632,0.388,0.41,0.509,0.577
Richard Jefferson,Jazz,2013-2014,REG,82,1.794,2.394,3.99,50.99,36.851,0.732,0.342,0.383,0.611,0.471,0.432,0.552,0.544
Jamaal Tinsley,Jazz,2013-2014,REG,8,0.938,2.45,4.084,100.959,89.197,1.307,0.327,0.5,0.818,0.5,0.071,0.7,0.833
Marvin Williams,Jazz,2013-2014,REG,66,1.677,2.38,3.967,53.132,39.365,0.473,0.194,0.547,0.618,0.489,0.412,0.65,0.485
John Lucas III,Jazz,2013-2014,REG,42,1.031,2.637,4.395,74.563,59.772,1.217,0.365,0.75,0.6,0.288,0.344,0.69,0.647
Jeremy Evans,Jazz,2013-2014,REG,66,1.34,2.634,4.39,58.532,45.373,0.476,0.119,0.585,0.543,0.593,0.432,0.399,0.529
Enes Kanter,Jazz,2013-2014,REG,80,1.79,2.412,4.02,55.466,35.95,0.421,0.101,0.541,0.605,0.508,0.46,0.335,0.525
Trey Burke,Jazz,2013-2014,REG,70,2.312,2.575,4.292,89.434,69.418,1.337,0.652,0.5,0.66,0.378,0.381,0.544,0.482
Diante Garrett,Jazz,2013-2014,REG,71,1.037,2.531,4.218,76.749,62.932,0.791,0.619,0.579,0.614,0.412,0.358,0.57,0.483
Alec Burks,Jazz,2013-2014,REG,78,1.99,2.548,4.247,67.647,46.997,0.936,0.443,0.391,0.619,0.475,0.43,0.378,0.532
Gordon Hayward,Jazz,2013-2014,REG,77,2.581,2.555,4.259,68.847,48.8,1.273,0.592,0.596,0.697,0.434,0.399,0.605,0.547
Derrick Favors,Jazz,2013-2014,REG,73,2.071,2.473,4.122,65.795,48.034,0.458,0.147,0.577,0.63,0.554,0.421,0.245,0.508
Michael Beasley,Heat,2013-2014,REG,55,1.066,2.539,4.232,59.925,39.878,0.39,0.173,0.62,0.632,0.493,0.507,0.4,0.514
Mario Chalmers,Heat,2013-2014,REG,73,1.978,2.387,3.978,78.953,62.987,1.587,0.694,0.603,0.546,0.451,0.457,0.473,0.556
Rashard Lewis,Heat,2013-2014,REG,60,1.153,2.564,4.274,53.202,41.968,0.779,0.111,0.6,0.581,0.402,0.425,0.589,0.543
Norris Cole,Heat,2013-2014,REG,82,1.76,2.579,4.298,72.416,57.904,0.894,0.626,0.531,0.577,0.374,0.449,0.545,0.623
Ray Allen,Heat,2013-2014,REG,73,1.851,2.513,4.189,44.317,30.685,0.595,0.353,0.489,0.7,0.42,0.458,0.575,0.609
Chris Andersen,Heat,2013-2014,REG,72,1.323,2.457,4.095,38.991,27.799,0.232,0.052,0.623,0.59,0.65,0.627,0.273,0.479
Udonis Haslem,Heat,2013-2014,REG,46,0.942,2.39,3.983,44.714,32.915,0.772,0.11,0.433,0.616,0.513,0.493,0.462,0.569
Shane Battier,Heat,2013-2014,REG,73,1.44,2.578,4.296,52.813,44.546,0.834,0.172,0.358,0.421,0.409,0.373,0.76,0.535
Dwyane Wade,Heat,2013-2014,REG,54,2.222,2.434,4.056,64.02,40.753,1.055,0.467,0.5,0.651,0.549,0.541,0.35,0.531
LeBron James,Heat,2013-2014,REG,77,2.407,2.299,3.832,72.202,46.807,1.203,0.459,0.669,0.755,0.651,0.476,0.483,0.519
Chris Bosh,Heat,2013-2014,REG,79,2.014,2.263,3.771,56.246,38.327,0.811,0.156,0.601,0.621,0.561,0.486,0.603,0.523
Cartier Martin,"Hawks, Bulls, Bulls",2013-2014,REG,59,1.039,2.539,4.231,44.91,30.63,0.745,0.041,0.481,0.61,0.371,0.456,0.601,0.588
James Nunnally,"Hawks, 76ers",2013-2014,REG,13,0.868,2.456,4.094,37.639,25.238,0,1.088,0.5,0.667,0.333,0.29,0.721,0.667
John Jenkins,Hawks,2013-2014,REG,13,0.861,2.557,4.262,47.985,34.503,1.143,0,1,0.613,0.313,0.423,0.619,0.692
Jeff Teague,Hawks,2013-2014,REG,79,2.054,2.298,3.831,85.426,61.379,1.799,0.821,0.382,0.635,0.427,0.455,0.438,0.65
Elton Brand,Hawks,2013-2014,REG,73,1.244,2.312,3.854,59.235,47.139,0.815,0.127,0.564,0.611,0.543,0.528,0.535,0.502
Mike Scott,Hawks,2013-2014,REG,80,1.313,2.552,4.253,58.524,39.429,0.583,0.292,0.425,0.624,0.512,0.443,0.526,0.566
Paul Millsap,Hawks,2013-2014,REG,74,2.273,2.44,4.066,68.207,46.245,0.87,0.348,0.484,0.58,0.473,0.448,0.398,0.52
Gustavo Ayon,Hawks,2013-2014,REG,26,1.146,2.498,4.164,70.449,57.701,1.006,0.084,0.56,0.572,0.493,0.52,0.25,0.533
