PLAYER,TEAM,GP,W,L,MIN,PTS,TOUCHES,"FRONT CT
TOUCHES","TIME OF
POSS","AVG SEC PER
TOUCH","AVG DRIB PER
TOUCH","PTS PER
TOUCH","ELBOW
TOUCHES","POST
UPS","PAINT
TOUCHES","PTS PER
ELBOW TOUCH","PTS PER
POST TOUCH","PTS PER
PAINT TOUCH",Year
Karl-Anthony Towns,MIN,82,47,35,35.6,21.3,69.4,42.3,2,1.75,0.53,0.306,3.6,6.5,6.2,0.622,0.675,1.079,18
Allen Crabbe,BKN,73,24,49,29.2,13.2,43.2,32.3,1.2,1.67,0.79,0.305,0.5,0,0.7,0.794,0,0.588,18
Justin Anderson,PHI,37,27,10,13.9,6.2,20.4,15.6,0.7,1.94,0.85,0.305,0.4,0,1.7,0.846,0,0.71,18
Otto Porter Jr.,WAS,77,42,35,31.6,14.7,48.4,28.6,1.7,2.16,1.13,0.305,1.5,0.7,2.4,0.679,0.6,0.909,18
Stanley Johnson,DET,69,33,36,27.4,8.7,28.4,20.6,1.4,2.94,2.07,0.305,0.3,0.4,0.8,0.45,0.4,0.769,18
Carmelo Anthony,OKC,75,46,29,32,16.3,53.4,28.3,1.8,2.07,0.97,0.304,1.3,3.5,1.3,0.455,0.654,0.99,18
Ryan Anderson,HOU,65,52,13,26.1,9.4,30.9,18.6,0.7,1.39,0.45,0.304,0.4,0.3,1.7,0.28,0.667,0.725,18
Langston Galloway,DET,58,28,30,14.9,6.2,20.5,13.4,1.1,3.11,2.56,0.303,0.2,0,0.3,0.429,0,0.563,18
Joel Embiid,PHI,62,41,21,30.3,23.1,76.4,52.2,2.8,2.19,0.91,0.302,3.7,13.8,6.3,0.338,0.653,0.91,18
Markieff Morris,WAS,73,37,36,27,11.5,38.1,25.7,1,1.57,0.53,0.302,2.4,3.5,3,0.448,0.552,0.886,18
Marreese Speights,ORL,52,15,37,13,7.7,25.6,17.3,0.6,1.47,0.35,0.302,0.6,1.7,0.9,0.267,0.607,0.733,18
Jalen Jones,DAL,16,3,13,11.3,4.6,15.4,9.1,0.6,2.15,1.25,0.301,0.3,0.1,0.9,0.6,0,1,18
